,gene,interactor
1579,TFIP11,Known
1580,TGFB1I1,Known
1581,TGFBR1,Known
1582,TGIF2LY,Known
1583,THAP7,Known
1584,THEM4,Known
1585,THOP1,Known
1586,TIAM2,Known
1587,TLE1,Known
1588,TLE4,Known
1589,TMEM213,Known
1590,TNFAIP1,Known
1591,TNFAIP3,Known
1592,TNFRSF10C,Known
1593,TNFRSF1A,Known
1594,TNFRSF1B,Known
1595,TNFSF11,Known
1596,TNIK,Known
1597,TNIP2,Known
1598,TNKS,Known
1599,TOPBP1,Known
1600,TP53,Known
1601,TPD52,Known
1602,TPD52L1,Known
1603,TPM1,Known
1604,TPM3,Known
1605,TPR,Known
1606,TRA2A,Known
1607,TRA2B,Known
1608,TRADD,Known
1609,TRAF2,Known
1610,TRAF3IP1,Known
1611,TRAF6,Known
1612,TRAPPC2L,Known
1613,TRIB3,Known
1614,TRIM13,Known
1615,TRIM2,Known
1616,TRIM22,Known
1617,TRIM27,Known
1618,TRIM28,Known
1619,TRIM29,Known
1620,TRIM32,Known
1621,TRIM41,Known
1622,TRIM9,Known
1623,TRIO,Known
1624,TRIP13,Known
1625,TRIP6,Known
1626,TSC1,Known
1627,TSC2,Known
1628,TSC22D3,Known
1629,TSHZ3,Known
1630,TSSC4,Known
1631,TSSK3,Known
1632,TTC19,Known
1633,TTC3,Known
1634,TTF1,Known
1635,TTN,Known
1636,TUBA1B,Known
1637,TUBB,Known
1638,TUBB2A,Known
1639,TUBGCP4,Known
1640,TWIST1,Known
1641,TWIST2,Known
1642,TXLNB,Known
1643,TXNL4B,Known
1644,TYRO3,Known
1645,U2AF1,Known
1646,U2AF2,Known
1647,UBC,Known
1648,UBD,Known
1649,UBE2D1,Known
1650,UBE2D2,Known
1651,UBE2D3,Known
1652,UBE2E1,Known
1653,UBE2E2,Known
1654,UBE2E3,Known
1655,UBE2M,Known
1656,UBE2S,Known
1657,UBQLN1,Known
1658,UBTF,Known
1659,USP15,Known
1660,USP4,Known
1661,USP48,Known
1662,UTP23,Known
1663,UTRN,Known
1664,UXS1,Known
1665,VAV2,Known
1666,VEGFA,Known
1667,VHL,Known
1668,VIM,Known
1669,VIMP,Known
1670,VKORC1,Known
1671,VLDLR,Known
1672,VPS28,Known
1673,VRK1,Known
1674,WBP11,Known
1675,WDR5,Known
1676,WFDC5,Known
1677,WNK1,Known
1678,WNK4,Known
1679,WNT7B,Known
1680,XIAP,Known
1681,XPNPEP1,Known
1682,XRCC5,Known
1683,XRCC6,Known
1684,XRN2,Known
1685,YAP1,Known
1686,YBX1,Known
1687,YPEL2,Known
1688,YPEL3,Known
1689,YTHDC1,Known
1690,YWHAB,Known
1691,YWHAE,Known
1692,YWHAG,Known
1693,YWHAQ,Known
1694,YWHAZ,Known
1695,ZBED8,Known
1696,ZDHHC17,Known
1697,ZDHHC24,Known
1698,ZFP36L1,Known
1699,ZHX1,Known
1700,ZMAT4,Known
1701,ZMYND19,Known
1702,ZMYND8,Known
1703,ZNF124,Known
1704,ZNF197,Known
1705,ZNF205-AS1,Known
1706,ZNF365,Known
1707,ZNF417,Known
1708,ZNF490,Known
1709,ZNF512B,Known
1710,ZNF558,Known
1711,ZNF587,Known
1712,ZNF746,Known
1713,ZNF775,Known
1714,ZRANB2,Known
1715,ZRSR2,Known
1716,ZSCAN32,Known
1717,ZSCAN9,Known
