	P(VFC)	P(MFC)	P(IPC)	P(ITC)	P(DFC)	P(OFC)	P(M1C)	P(S1C)	P(A1C)	P(AMY)	P(STC)	P(STR)	P(V1C)	P(HIP)	P(MD)	P(CBC)	I(VFC)	I(MFC)	I(IPC)	I(ITC)	I(DFC)	I(OFC)	I(M1C)	I(S1C)	I(A1C)	I(AMY)	I(STC)	I(STR)	I(V1C)	I(HIP)	I(MD)	I(CBC)	C(VFC)	C(MFC)	C(IPC)	C(ITC)	C(DFC)	C(OFC)	C(M1C)	C(S1C)	C(A1C)	C(AMY)	C(STC)	C(STR)	C(V1C)	C(HIP)	C(MD)	C(CBC)	A(VFC)	A(MFC)	A(IPC)	A(ITC)	A(DFC)	A(OFC)	A(M1C)	A(S1C)	A(A1C)	A(AMY)	A(STC)	A(STR)	A(V1C)	A(HIP)	A(MD)	A(CBC)	At(VFC)	At(MFC)	At(IPC)	At(ITC)	At(DFC)	At(OFC)	At(M1C)	At(S1C)	At(A1C)	At(AMY)	At(STC)	At(STR)	At(V1C)	At(HIP)	At(MD)	At(CBC)
PRKD1	2.09405	2.948621	1.099717	1.851395	2.648463	2.765996	1.672029	1.262931	1.544972	3.935971	1.948007	1.9849	1.868349	5.221619	1.074433	5.163038	2.61563	1.784298	1.450885	2.108682	2.278805	2.345634	2.696277	1.325561	2.874271	3.108242	2.196943	2.892152	1.228128	2.617672	1.669608	2.461671	2.23368	2.713847	2.72588	3.004604	1.786078	2.56039	3.011799	2.72196	2.21303	2.422255	2.303193	2.335682	2.427672	2.498069	2.08366	1.56129	2.261072	2.205344	1.734585	1.999195	2.385204	2.231356	1.788558	1.870232	1.808725	2.383255	1.731862	2.922814	2.143568	2.378662	2.080519	1.076674	1.8006158	1.7127784	1.4270997	1.9793225	1.838025	1.837938	1.6488347	1.4923437	1.4805012	2.1193618	1.4310062	2.9508983	1.5422406	2.3171307	1.5415777	0.9651952
PTGIS	4.658929	4.145047	4.686738	5.466872	4.093944	4.408677	5.5659	4.864396	5.381504	5.169293	5.706256	4.862879	4.293002	4.945086	6.043229	4.391856	2.5490063	2.295095	1.8710292	1.9398225	2.1795596	2.018803	2.0273393	1.8830045	2.409453	2.0318742	1.9385175	2.0412747	2.793579	0.8933455	0.8533404	0.6403576	1.1324303	1.6353798	1.117945	1.02396	1.1678238	1.1376563	0.9226973	0.8374267	1.0411242	0.4867093	1.2776385	0.9927577	1.6062746	0.4980783	0.4000993	0.300379	1.123179	1.596316	1.225734	1.088227	1.556933	1.000354	0.76149	1.15689	1.001282	1.030148	1.515695	1.660009	1.497314	0.947621	0.493843	0.237988	1.1028147	1.1688326	1.734224	0.8511985	1.2161084	1.2860188	1.0169282	1.1741133	1.841086	0.7273122	1.5921477	1.2906012	1.3829252	1.2899858	0.6102247	0.2139885
RERE	17.96236	16.07528	16.98279	16.78583	16.79557	15.95496	19.33121	17.61442	16.71846	18.16037	17.21886	17.7292	14.83347	14.09551	13.70807	14.45608	11.490836	11.333432	10.29498	10.242373	10.28969	9.481694	12.784067	10.318614	11.639842	13.405065	10.165752	10.229633	11.313076	11.035674	7.995615	11.875327	8.898508	8.658955	9.789041	9.714661	8.830252	10.507997	8.944831	8.911878	11.476828	10.197701	10.310332	5.89503	12.587228	8.380593	7.999985	18.293145	11.837561	11.569782	12.334695	11.839229	12.801644	12.697178	10.760601	11.667714	11.560845	11.628081	11.527772	8.961756	12.742562	11.213023	10.2987	17.041201	13.374147	13.082567	13.287475	11.924876	12.457151	13.997859	12.765459	13.318291	13.006577	11.890946	14.742164	10.270841	15.674959	10.823711	9.885828	16.696354
RGS6	3.446781	1.7936238	5.9371766	4.6068412	3.211094	2.0867524	6.0925938	6.5646988	3.6775011	2.307857	4.0652476	1.6822844	5.4442995	0.8906867	1.3021895	2.0090506	2.3203002	2.4862664	3.2387658	2.6814867	2.6571008	2.0806478	2.540159	3.1119038	3.0158017	1.6376827	3.089069	0.8314247	4.5985702	0.8144218	2.0086888	2.6392356	2.8842778	2.6423778	3.0737408	2.0664688	2.9041772	3.1936087	2.7819868	3.1766737	3.518904	1.2896183	3.1876403	0.629853	3.9585012	0.6612777	1.8458247	1.2913218	4.6080653	3.1684233	5.4795393	4.1872327	4.9084383	4.6525023	4.2260613	4.440106	4.3826063	2.7937057	5.2643002	0.7531345	3.9312657	0.7136697	2.8264095	1.4763228	5.0515718	3.9250274	5.5567233	4.0307842	5.3537474	4.9909712	5.1590828	5.3304307	5.2128662	2.060271	5.540512	0.9865367	5.2799206	1.2976208	1.811025	1.710413
SATB2	72.4164967	40.9658232	84.6603943	53.0063772	57.8592657	53.4218637	67.9302442	71.1921477	87.0060436	13.6025591	61.0855805	1.848469	47.0543653	4.9119735	0.4567229	2.6337741	8.696906	9.886216	9.3257442	9.3516458	8.9219814	8.022568	8.7107093	9.652273	10.9468447	4.2315723	9.0255642	0.4903997	10.9832198	1.8783547	0.1792186	0.321478	6.1748585	5.3238842	6.1024394	5.9324062	5.5931098	5.8804783	4.914007	5.3719817	6.5914264	1.7066872	5.9656445	0.4204643	6.8010918	1.6190768	0.3793907	0.180923	6.1544033	5.863005	8.5279122	7.2408592	7.495984	6.43797	5.9796653	5.9834017	6.416734	2.3288717	7.6840492	0.5391915	5.4073263	1.2014857	0.449084	0.1900527	9.6090643	8.9382456	9.5038532	7.8064958	10.0541468	9.1166673	7.3826475	7.851114	7.9321917	3.8013497	9.3014433	0.5541943	9.8630554	2.2694767	0.4692613	0.1844743
SDCCAG8	10.820767	11.070209	14.591778	11.842908	11.167661	10.631422	13.128431	14.291452	12.962325	9.678153	13.830045	5.926204	14.66857	9.137992	6.429427	5.352076	7.176149	6.552896	5.767651	7.464545	6.699932	6.44843	6.592913	6.132277	8.864134	7.45227	7.194782	5.960326	6.637644	6.796245	4.84291	5.08192	5.367467	4.469898	5.442161	5.374901	4.115386	5.538108	5.310968	4.934489	5.207455	5.606476	5.616689	4.282765	5.469039	5.483286	4.930486	4.44017	5.717018	5.187026	5.519777	5.295735	5.25332	5.620086	4.892239	5.207539	5.823093	5.692638	5.414842	5.280486	5.462826	4.900935	4.437627	4.228697	5.160522	4.716093	4.935446	5.093487	5.186789	4.973157	5.152918	5.102954	5.047714	5.482948	4.980814	5.361738	5.603057	5.802037	5.161085	3.986164
SHMT2	7.391848	10.592355	5.705373	6.630708	8.940712	9.356726	6.365918	6.126689	5.947377	11.436612	7.481852	7.351433	8.891017	12.785584	6.360807	12.915563	6.323231	4.620037	5.555622	4.785841	6.520687	6.210287	6.344302	5.763704	6.270615	5.780835	5.34049	4.730079	4.815768	5.719881	5.910919	15.536715	7.287804	6.063291	7.436287	8.276338	5.213235	5.692698	9.298538	6.627081	8.110528	5.968004	8.396655	5.895505	7.706997	6.493431	7.164553	13.390733	5.404125	4.71046	4.518561	4.99092	5.492123	5.465971	5.647994	5.279438	4.962116	4.871954	4.757988	3.574931	5.525958	5.990554	6.004744	11.596827	3.965151	3.845395	3.63648	3.643905	4.136164	3.940063	4.390707	4.278498	4.466887	4.054225	3.98459	3.741342	3.95715	5.248451	5.390327	11.699089
SMG6	9.592475	9.540548	10.111634	9.615922	9.663649	8.7617	10.287479	10.042476	9.463527	10.743627	10.306873	9.004587	11.310302	10.252184	6.744007	9.430521	6.918228	5.845784	5.70455	5.472002	5.409485	5.65856	6.910499	5.318369	6.036051	8.801752	5.762	6.779085	5.997523	7.097022	5.625975	9.122092	4.757017	5.308689	5.647227	5.279776	4.523077	6.275745	5.958325	5.010432	6.063145	6.918875	4.958463	5.926479	5.897834	5.119355	6.893808	10.127829	7.49579	7.850756	7.497845	7.289866	7.846307	7.72441	7.665607	7.487432	6.418666	9.189493	6.944257	7.654227	7.863704	8.390092	10.415768	10.715675	7.422701	7.566962	7.229311	6.566177	6.672594	7.729968	6.848005	7.115887	7.114733	8.053547	7.850495	8.657507	7.273496	6.80385	7.673812	10.000015
SNAP91	34.46786	30.7823	38.5691	35.97123	29.87135	33.02654	39.06918	39.67436	34.26979	20.70255	30.52182	25.33094	26.88734	22.26905	56.28213	24.42095	40.98689	48.83557	47.51757	46.91144	40.84315	36.80217	43.41351	49.01413	51.03198	44.93786	43.324	25.05231	49.74978	39.31533	66.44693	49.78717	47.69804	42.62095	46.30351	52.91367	43.98166	41.47449	35.90308	44.62942	48.8726	37.1438	48.9009	12.97969	50.95859	48.35234	48.80053	56.2514	46.91536	41.84662	56.92749	51.53926	55.36773	46.08701	46.76694	47.08241	46.24171	44.1426	55.75385	17.83416	41.47151	25.01559	44.41892	67.36046	61.31609	63.77774	69.19329	68.57646	68.55033	58.43526	58.50111	64.77472	57.91671	44.99167	69.67311	18.12657	76.02633	50.78226	54.0552	65.9727
SRPK2	23.77943	23.14131	26.15847	24.64779	23.95828	25.99437	26.88675	27.32632	23.59176	20.01803	21.61107	20.02942	21.44256	18.43294	20.65118	18.32758	20.21851	25.51374	24.62744	25.10785	21.592	21.01939	20.23587	24.9504	23.80226	19.33269	24.25046	19.16207	24.92345	18.15953	30.2234	18.8376	20.48044	20.04489	22.55855	23.6559	17.13176	21.27758	18.0364	20.14912	21.43273	16.57601	21.17876	12.05883	20.51664	22.34676	22.23899	18.01657	19.79389	19.43638	26.00329	21.29039	22.28285	19.80756	17.84149	20.00313	21.66283	20.98333	23.80933	18.40265	17.65115	12.74774	20.27083	18.44073	28.11077	27.83515	29.96521	29.38227	29.69682	28.01576	21.94607	24.62238	24.37439	22.47115	28.5913	18.62273	30.11492	21.68276	25.63862	18.36769
