	P(VFC)	P(MFC)	P(IPC)	P(ITC)	P(DFC)	P(OFC)	P(M1C)	P(S1C)	P(A1C)	P(AMY)	P(STC)	P(STR)	P(V1C)	P(HIP)	P(MD)	P(CBC)	I(VFC)	I(MFC)	I(IPC)	I(ITC)	I(DFC)	I(OFC)	I(M1C)	I(S1C)	I(A1C)	I(AMY)	I(STC)	I(STR)	I(V1C)	I(HIP)	I(MD)	I(CBC)	C(VFC)	C(MFC)	C(IPC)	C(ITC)	C(DFC)	C(OFC)	C(M1C)	C(S1C)	C(A1C)	C(AMY)	C(STC)	C(STR)	C(V1C)	C(HIP)	C(MD)	C(CBC)	A(VFC)	A(MFC)	A(IPC)	A(ITC)	A(DFC)	A(OFC)	A(M1C)	A(S1C)	A(A1C)	A(AMY)	A(STC)	A(STR)	A(V1C)	A(HIP)	A(MD)	A(CBC)	At(VFC)	At(MFC)	At(IPC)	At(ITC)	At(DFC)	At(OFC)	At(M1C)	At(S1C)	At(A1C)	At(AMY)	At(STC)	At(STR)	At(V1C)	At(HIP)	At(MD)	At(CBC)
STAG1	10.106424	10.471702	8.976791	10.555159	10.367376	11.43714	9.968352	9.249147	9.348733	13.871132	8.981041	9.68817	8.244914	12.142729	5.649637	9.661918	3.148096	2.606084	3.013513	2.962625	2.910687	3.132343	3.166152	2.668684	3.443885	3.766945	3.048385	3.349754	2.589793	3.439525	2.244729	8.370253	2.085164	2.461528	2.899712	3.282037	1.764444	2.792191	2.632265	2.884726	2.408764	2.884528	2.605148	2.044178	3.07608	3.515503	2.039753	6.431433	2.5672	2.646998	2.480657	2.4301	2.44073	2.158918	2.140168	2.368211	2.81475	2.892039	2.4361	3.58823	2.89114	2.455329	2.139658	6.82254	2.69833	2.977946	2.885842	2.861441	2.677242	2.771706	2.305515	2.457706	2.861754	3.277602	2.649549	3.443253	3.331389	2.871229	2.485273	6.608739
TCF20	14.758559	14.347163	18.485108	17.289225	14.71649	13.889566	18.984003	18.508434	16.491665	14.774459	17.953083	19.274944	18.009752	12.631249	7.728183	8.092636	5.760082	7.23933	5.718935	5.771609	5.263172	4.751498	6.619529	5.458236	6.223421	7.125654	5.672736	8.967039	6.77205	5.836711	4.149287	5.786576	3.280599	3.182108	3.220704	2.798893	3.147936	3.820512	2.987684	3.009908	4.680862	3.745167	3.103718	2.481876	3.617619	3.465001	3.007314	5.89373	5.777626	5.906388	6.585718	5.961901	6.538894	6.265227	5.100897	5.437631	4.721832	7.092698	6.191202	7.163712	4.763516	5.396911	4.747606	5.914998	7.031703	7.714249	7.133202	6.031534	6.929019	7.360624	6.588169	6.439037	6.36584	5.5166	7.284047	5.706915	6.27004	5.908177	4.281098	5.670751
TCF4	35.438469	40.282921	50.501366	49.022205	38.026909	39.535249	36.401221	40.564465	49.360017	49.552781	45.93843	13.263385	45.761959	72.284106	5.413142	27.038894	17.232184	16.242723	16.612969	18.76986	16.48459	16.066472	18.506621	14.273476	20.505274	19.201823	17.914194	9.544375	17.129019	19.735329	3.581311	23.812138	12.147293	12.862892	15.256503	18.675597	10.656639	14.57826	12.895155	12.966114	14.106027	11.474176	14.322211	6.01926	14.374785	17.900091	4.611294	21.704737	10.143735	12.12698	15.24641	13.547276	13.33343	10.207894	9.252408	10.170882	11.893775	12.697314	14.487226	10.142219	10.891795	10.988031	3.993908	22.047608	15.152382	17.155212	16.714429	18.0409	14.870618	16.432438	12.904022	13.583152	15.281091	12.865855	16.126936	10.025592	15.649196	14.636035	5.040223	22.593477
TMTC1	0.9328712	1.1883872	1.3488591	1.5938581	1.041184	1.1625861	0.6641036	0.7891082	1.5671636	1.2307217	1.5015795	2.8656433	1.9730755	2.1067889	1.4484505	1.0625341	2.805136	2.825731	3.045613	2.929337	2.710259	2.336349	3.240184	3.135395	2.417473	3.420075	2.639144	6.684024	2.557637	4.602891	8.784048	1.408449	2.3119142	2.6094125	2.7294566	3.773048	1.9614036	1.9937843	2.340854	2.681394	2.7056416	2.7925298	2.8393942	3.5413283	1.7528336	7.130165	5.363179	0.8215628	1.999693	2.348958	3.140055	2.945357	2.593059	1.988984	2.330694	2.114729	2.05938	3.419666	2.897813	7.037035	1.484213	3.415778	6.86634	1.054154	3.639706	4.246031	4.027511	4.6615	3.621851	3.279211	3.843805	3.317542	3.313673	4.566822	3.636815	6.47121	2.464523	5.252314	8.315473	1.147406
TMX2-CTNND1	21.60429	22.41513	18.20909	20.40988	21.72457	22.18564	21.90409	21.39275	18.79309	29.24138	19.77666	20.10142	20.6708	29.08361	19.23245	23.52275	17.6716	15.03574	17.10447	13.64775	19.26888	18.41025	20.33257	15.51035	17.98921	17.48905	15.89877	21.34935	15.03384	14.00084	21.9595	16.99565	25.4112	24.68617	26.48094	22.92028	19.75576	19.97297	23.33729	20.67743	26.1456	18.85346	28.65387	22.66952	25.25888	18.11157	22.7898	24.34828	19.55134	14.75548	19.40265	19.51851	18.39994	18.72057	19.04823	17.33848	13.75422	21.12706	19.39674	18.21552	19.65561	17.93481	26.32228	20.28766	19.76554	19.37481	19.50675	17.21416	19.69409	20.18435	20.94545	20.51927	20.55928	17.82602	23.99964	20.67965	19.08695	18.21665	21.16214	26.91609
TSNARE1	2.70908	2.473678	2.619552	2.513708	2.406164	2.051464	2.38133	2.556436	2.740808	2.383505	3.129511	2.745036	3.532292	2.136355	1.736167	2.288102	2.985555	2.232293	2.545205	2.053737	2.771008	2.869671	3.027473	2.358254	2.529098	2.683038	2.338622	2.08926	2.523791	1.869429	1.288111	2.591703	1.763818	1.794269	2.150283	1.689358	1.669119	2.193113	2.237361	2.183553	2.117571	1.60808	1.737662	1.726222	2.282875	1.20509	1.64537	2.63318	2.941377	2.556424	2.474744	2.680221	2.601236	2.833294	2.91394	2.917687	2.363859	2.775935	2.572966	1.829793	3.264131	2.655824	2.684272	1.886365	3.014307	2.641534	2.658475	2.160169	2.264747	3.140909	2.865754	2.953455	2.918947	2.386775	3.216759	2.340568	3.142913	2.200215	2.243928	2.299238
TYW5	0.7225837	0.7740725	0.7419754	0.7357495	0.7443517	0.7767805	0.7316482	0.6980957	0.7887929	0.7203734	0.7464214	0.7411374	0.663797	0.6832634	0.8373956	0.9221288	0.6785022	0.777758	0.6870287	0.8713508	0.709053	0.6845452	0.701578	0.702423	0.805875	0.5654923	0.8644198	0.5165713	0.7118008	0.6034785	0.5646318	0.7730876	0.7446845	0.784712	0.8036732	0.936026	0.6958612	0.896453	0.7534778	1.0213123	0.7396446	0.6472733	0.9437285	0.684461	0.6994258	0.8232038	0.7283463	0.7723573	0.6143633	0.690414	0.6466412	0.7621777	0.666079	0.5952117	0.5180727	0.5906277	0.655141	0.7056983	0.7257875	0.664517	0.6185183	0.516111	0.434053	0.770942	0.774879	0.9631118	0.7356508	0.8743448	0.8606838	0.8143887	0.7095498	0.7208405	0.6513273	0.9155497	0.7127322	0.7639033	0.7299476	0.885963	0.5973072	0.7417113
VRK2	2.330619	2.63782	3.117999	3.012625	2.831161	2.626594	2.70967	2.964863	2.88692	2.589352	3.220034	2.272062	4.326374	3.079756	1.86858	2.593877	1.54997	1.459275	1.554279	2.468176	1.48933	1.608829	1.224239	1.531394	1.869344	1.840915	2.060579	2.008381	1.942901	2.35662	1.08783	2.056646	2.542094	2.10998	2.822866	2.719511	2.360845	2.871126	2.218943	3.379304	2.527875	3.516121	2.955332	3.931461	2.745056	4.144864	2.439418	1.380189	2.262065	2.084226	2.114693	2.835307	1.604485	1.989021	2.098583	2.188313	3.232092	2.93426	2.152352	4.276943	2.422549	2.637538	1.802824	1.103476	2.573179	2.979584	2.374522	3.108251	2.791623	2.588407	2.165345	2.30569	2.876797	5.050072	2.472856	4.697397	2.986112	3.539874	2.609712	1.334734
ZNF536	2.0446111	3.2753254	1.0643222	2.4577099	2.7472284	3.3938692	1.6143951	1.1636982	1.4230565	5.6793247	2.000663	3.3012428	1.1017877	5.9558124	0.7042917	9.3318114	2.878158	2.954976	2.419517	1.66851	1.688676	2.311779	2.981296	2.79396	1.998926	2.955563	2.102196	2.640481	2.429842	3.929215	1.151878	7.294543	3.073066	2.510346	3.591221	1.797691	2.93647	4.960994	3.046841	3.301476	3.772318	4.586171	2.0879	4.82985	3.127555	5.371017	3.376232	7.955451	5.428252	3.983146	3.821448	5.91951	3.711925	4.550061	6.046807	5.446063	5.359828	7.678908	3.345019	7.274174	4.993709	6.600081	3.586766	8.700471	6.868033	4.902084	4.705811	3.946584	5.248488	6.198482	5.279833	4.546125	6.098624	7.999678	6.268848	9.867857	5.206886	6.30834	5.497618	8.716403
ZNF804A	3.510089	2.603737	3.404024	3.568353	3.458954	3.509455	3.206261	3.661233	3.894207	4.89769	3.493206	3.473637	2.246522	4.092828	2.537279	3.651055	2.790407	2.838479	2.793331	2.422132	2.118743	1.92204	3.075965	2.698708	3.431821	3.014595	2.519271	3.275779	3.369477	3.256117	2.262282	1.701696	1.6014613	1.4979463	1.8313294	1.955858	1.3358494	1.7105367	1.195437	1.342204	1.978282	1.5139398	1.3980695	0.8916187	1.3481032	2.504298	1.9002623	1.5778107	2.097012	1.650703	2.447274	1.891909	2.435826	2.109148	1.662792	1.925472	2.023979	3.098529	2.407892	2.679526	1.46037	1.729777	2.227549	2.1557	2.698032	2.809106	2.58492	2.615276	2.384494	2.622945	2.46094	2.536299	2.588163	2.343612	2.575744	2.077019	2.664525	2.757904	2.57612	1.898932
AKT1	21.64874	20.23849	18.24599	19.6311	20.39637	19.83046	18.26179	18.38373	18.13152	21.41032	20.27565	18.5719	18.54155	19.72	15.17975	14.82027	10.034796	8.775854	9.719718	9.095295	10.498246	9.91552	10.501118	10.229153	9.901734	11.529075	9.812077	11.038567	10.000883	9.363839	6.981133	10.37648	8.583558	8.100414	9.530839	8.886864	7.201501	8.827074	9.31362	8.207499	8.935232	8.20444	9.843885	8.744369	9.510534	7.368286	7.32418	10.26983	8.78782	7.928399	8.099615	8.508245	8.769062	8.725762	8.073031	8.152611	7.084784	8.394694	7.868911	6.995523	9.018151	9.413043	9.166893	10.236932	7.195595	6.723591	7.220641	7.129313	6.098727	7.434091	7.833998	7.602388	8.061832	7.388129	8.1286	7.864054	7.412733	7.743755	7.404187	10.019853
APOE	52.43714	47.56901	30.05263	36.51986	99.7962	32.8252	66.516	50.40868	131.21227	98.22199	45.348	154.6391	93.07947	111.65373	383.41586	90.21834	748.32	425.7992	584.1183	590.195	690.6807	817.9544	466.8551	524.9664	444.7923	621.4171	588.5121	611.7907	573.0827	661.0874	1070.873	358.7466	529.6605	475.8902	614.4996	673.5226	312.3588	517.1208	742.6568	603.6827	684.071	609.5429	611.6267	715.5282	453.4932	326.5977	733.398	311.1731	279.462	311.5247	267.3431	279.2609	250.9795	362.6493	258.6072	282.7128	245.57	310.1872	248.4351	228.1136	301.1374	439.0567	720.1281	204.6941	81.36194	115.09132	71.83538	152.96549	78.16536	117.00956	94.81266	71.25643	86.899	339.49136	100.45049	456.74286	39.18279	261.46449	273.63627	176.69426
APOL2	1.3433079	1.5298069	0.7193114	0.8365667	1.4451771	1.3471078	1.1664019	1.0170478	1.4402264	2.2664414	1.27315	1.9088889	1.8449788	3.1920763	2.334181	3.1667757	5.574109	3.678638	4.221616	3.688865	4.415688	4.189493	5.082517	4.421579	4.132177	4.798524	3.878841	3.194972	3.821665	5.600427	3.936016	7.980932	8.651549	8.590398	9.567001	8.323758	8.365876	11.368606	9.889657	10.680898	10.380733	10.477125	8.22795	6.814473	13.523192	9.185512	13.110308	11.736667	15.381486	11.707657	15.982907	12.612324	14.165386	13.826585	15.358808	17.695067	13.948535	13.885725	14.801677	3.471201	17.60167	8.25239	12.36385	12.48382	18.38479	11.92906	19.67982	14.46434	16.44522	16.75711	20.48384	22.49115	18.96786	10.53147	19.78039	4.86006	24.64582	11.4307	15.51909	11.9254
BDNF	0.64230181	0.73592373	0.19816621	0.39821046	0.29781788	0.53282757	0.3048588	0.2615079	0.30713193	0.30578671	0.17136179	0.63394171	0.08805447	0.85693007	3.62867175	0.24591775	2.4011227	2.197488	2.8253207	2.3923723	2.1581262	2.0969456	2.6525793	2.5884148	2.4835713	2.3604158	2.291851	0.4694033	2.3158288	2.3244247	6.5530212	2.0902378	2.1177458	1.9917285	1.910054	2.1747622	1.794036	2.0625737	1.4931843	1.520127	1.875261	2.2634123	2.0495908	0.4143877	1.5148948	3.7748207	2.5854663	2.5668165	1.9050967	2.3546067	2.4189905	2.7518875	2.631785	2.2003317	1.686423	1.500419	2.0372333	3.068767	2.8920745	0.3729875	1.6480327	2.681308	2.260518	2.3076728	1.9923215	2.7433944	2.0802483	2.8556427	2.1308432	1.9598392	1.4739202	1.6067123	1.8113742	2.3667083	2.1873573	0.3875665	1.7235086	3.6895763	2.1607872	2.3245203
CHI3L1	0.15784287	0.149712	0.08425671	0.12644823	0.22845365	0.10000407	0.3262092	0.4327177	0.44271936	0.43342243	0.20866579	0.69487479	0.65509833	0.63246427	2.00995625	0.12380675	2.1112415	1.6691844	1.340611	1.5445607	1.5746178	1.805268	1.3778013	1.5831968	1.49367	2.42427	1.8581302	1.5924563	1.8764506	2.5242208	3.5171912	0.2746928	3.3710257	4.2995738	3.4137758	4.4057252	3.883824	4.274252	4.746111	4.1799693	4.3439678	4.099477	3.8710405	11.420249	7.7607748	5.859039	12.3975533	0.5492428	4.475088	3.698758	4.25612	4.1539838	4.8363377	5.387526	4.773877	4.5716027	3.592628	5.2782407	3.6239435	5.4603675	5.6549593	3.706417	4.543296	0.4283175	2.693917	2.440828	2.874602	4.01496	2.725278	3.12338	2.586902	2.887127	2.463334	4.61129	3.346329	7.00153	2.980654	3.632557	5.208866	0.646162
CHRNA7	0.1987999	0.1893666	0.1778319	0.2029261	0.1887266	0.1947587	0.2545835	0.212634	0.1635507	0.2276625	0.1781279	0.2173861	0.1567703	0.2046733	0.3785907	0.2255416	0.2184505	0.2921912	0.3538195	0.2743358	0.2167814	0.2189168	0.229453	0.2914503	0.202964	0.24039	0.2402687	0.1725067	0.3317402	0.1323462	0.4065104	0.0665344	0.210524	0.2653945	0.2314618	0.1421402	0.2034698	0.15131567	0.22590525	0.15676767	0.1879944	0.17199933	0.27245917	0.06714367	0.2561746	0.15907475	0.07557433	0.03371867	0.23144833	0.14563233	0.22839075	0.26129825	0.30665033	0.21834567	0.236723	0.21690767	0.19698	0.33369133	0.26439425	0.0690125	0.14124667	0.089099	0.108765	0.03991775	0.23106167	0.2213784	0.23934917	0.26678583	0.223335	0.3027895	0.25518333	0.2221075	0.28161483	0.169344	0.2733405	0.05176017	0.2100474	0.13818817	0.08609483	0.0371305
COMT	10.314328	10.402016	8.08391	8.309361	9.890363	9.207412	9.589978	9.129355	9.553677	12.399424	9.882064	11.155223	10.149921	14.563328	14.750548	15.190169	21.29304	13.65932	14.10771	15.27936	20.28566	21.3974	20.48896	15.82422	19.10984	21.07681	17.07657	18.54167	13.09748	20.19482	15.11522	17.13398	18.02756	15.55177	18.80386	18.20354	12.1283	15.54013	22.03706	15.82137	17.63224	18.92992	19.84406	22.37934	17.18662	15.56014	19.90564	18.4895	15.05127	13.86819	11.45005	14.38482	12.14937	14.98179	14.59491	14.17608	12.46061	15.94193	11.71632	12.55505	14.48025	19.02226	17.28959	14.35811	9.593253	9.905233	8.201173	9.619936	7.909324	9.847974	10.405284	8.957517	10.724768	14.779578	9.669363	16.385747	7.981161	15.14435	12.509286	15.16824
DAO	0.06611225	0.05694227	0.05589807	0.05338323	0.06324924	0.04228979	0.0672251	0.0696527	0.08217893	0.04516243	0.06891257	0.07822636	0.0638478	0.0468646	0.04918512	0.39907087	0.035557	0.0634138	0.25413025	0.04396983	0.0595988	0.0317372	0.05599667	0.03428025	0.029535	0.022567	0.0576885	0.01902967	0.0497214	0.05033975	0.1309672	8.609738	0.04465833	0.11719825	0.0235904	0.1178156	0.0929132	0.11827567	0.02301075	0.06340433	0.0201202	0.23137817	0.03208583	0.09181167	0.0538188	0.21441775	0.38383833	19.930068	0.065169	0.09366167	0.05316925	0.0545435	0.05430667	0.07293133	0.06204633	0.07775033	0.063871	0.113692	0.05197775	0.0436775	0.06747367	0.12712333	0.729204	11.040001	0.06353367	0.0834768	0.05261433	0.04827317	0.0890256	0.10600967	0.05401	0.05151383	0.06651467	0.05683083	0.032056	0.08888283	0.0466134	0.1331305	0.60740167	10.19048717
DAOA	0.001405875	0	0.001059786	0	0	0.002032929	0	0.0010446	0	0	0	0	0	0	0	0	0	0.003605	0	0.007005	0	0	0.025509	0	0	0	0	0	0	0	0	0	0	0.03605875	0.0122914	0	0.0382712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002794167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DISC1	0.4200244	0.4398921	0.4080061	0.5367401	0.4287189	0.4610224	0.425306	0.3898124	0.5860421	0.577582	0.5272067	0.7007555	0.8199471	0.9388211	0.7667221	1.230876	1.1085932	0.6403402	0.5491008	0.8068003	0.820257	0.9714706	1.1650147	0.5273965	1.24905	1.4828628	0.8494335	0.903269	0.4924198	1.1656788	0.5362846	0.4717446	0.6393663	0.7108075	0.7664426	1.041564	0.6940982	0.9738997	0.8432177	0.8313153	0.6851646	1.0444188	0.7867245	0.8669487	0.7095066	0.9176385	0.660183	0.4508103	0.7154523	0.746276	0.5993855	0.768151	0.6279053	0.6241197	0.6779803	0.692876	0.6950193	0.916381	0.621263	1.2223155	0.5926737	0.9586517	0.745021	0.309181	0.5306015	0.607504	0.512993	0.7091455	0.5815612	0.6195585	0.4816467	0.456064	0.4770123	0.9040373	0.5306615	0.9680673	0.3577056	0.8182833	0.6929233	0.3195735
DRD2	0.3120119	0.3250627	0.1702571	0.7240488	0.2103556	0.3741061	0.1364804	0.120895	0.2815257	3.4903815	0.3568048	19.4944388	0.1592119	1.606954	4.6299834	0.5080204	0.7698545	0.6257146	0.6616427	1.5127625	0.590801	0.6300676	0.4064957	0.7501148	0.9460787	3.2787887	0.7307265	54.0728763	0.6855022	1.1074475	5.683284	0.8300366	0.7043095	0.4083817	0.7501094	0.8967732	0.5173252	0.721376	0.4116695	0.4676337	1.2715956	1.4819297	1.1852502	29.9517777	0.6161816	0.8422758	9.663087	0.1935348	0.633899	0.35740067	0.79692525	1.699915	0.79585267	0.82887833	0.462154	0.491136	0.483161	3.77327867	1.275683	39.5333615	0.639096	0.81812733	11.076257	0.07673525	0.4148458	0.2716926	0.5431492	1.1894625	0.3844704	0.5329747	0.306476	0.4410472	0.5015675	3.4710018	0.8902007	28.5644472	0.362667	1.049289	10.0345662	0.1843922
DRD3	0.00581625	0.003877867	0.004964786	0.085142231	0.007184765	0.0551225	0.0077548	0.0035934	0.034961	0.261617143	0.046534714	3.901388	0.0062994	0.015337733	0.055809	0.015518375	0.02932775	0.0647944	0.03783075	0.025180167	0.0591392	0.0211416	0.034787667	0.00979475	0.004599333	0.06322175	0	2.620376667	0.055742	0.009887	0.050349	0.0508496	0.030438833	0.17968375	0.0057892	0.014816	0.0562604	0.009654	0.023392	0.031601	0.0054892	0.004385167	0.018722	1.597431333	0.006587	0.00941925	0.062033	0.003806333	0	0	0.00549075	0.02298975	0.019242	0.01663133	0	0.01966633	0.01202067	0.092315	0.007928	2.491235	0.026718	0.02273167	0.069408	0.00503525	0.015736	0.0336656	0.020557333	0.010010833	0.047806	0.052700667	0.0186155	0.027519667	0.037766	0.197279833	0.017435333	2.308765667	0.0176164	0.095100667	0.086337167	0.007019833
DRD4	1.2168901	0.8716985	0.7866837	0.6856255	0.9329404	0.7489664	0.7128113	0.6257411	0.8935394	0.6008364	0.9463769	0.9645153	1.3088297	1.4504747	1.1740144	3.3954733	0.9763122	0.933045	1.007587	0.747641	0.8815652	1.249485	0.5943797	0.7831202	0.5609567	1.1886883	0.7682042	0.578124	0.9321968	2.0197665	0.7612034	2.24056	1.171209	1.324575	1.534508	0.7822274	0.8593372	1.7125383	1.7548325	2.105538	1.3972236	1.0292857	1.0604222	0.669813	1.4751302	1.230598	0.6133327	1.4479145	0.7848967	0.711685	0.690233	0.7380807	0.613626	0.9276143	0.7743053	0.8452093	0.6509687	0.597789	0.3443613	0.428148	0.7336693	1.2781033	1.0763855	0.8701043	0.5188718	0.4667176	0.4176103	0.4688778	0.3828864	0.5876915	0.553167	0.5189102	0.649763	0.6511822	0.516203	0.8747878	0.8907402	0.8192958	0.6364163	1.0634183
DTNBP1	4.327264	4.458258	4.427216	4.710801	4.471905	4.282634	3.83809	4.115725	4.456991	4.208181	4.664925	12.872673	4.602365	4.046155	9.366673	4.020668	5.52247	6.112466	6.213274	6.392509	7.418768	6.333899	4.940486	7.157751	4.94667	5.738059	6.022796	13.650001	4.961344	4.870043	18.564022	3.336837	11.558273	10.415751	11.362206	13.264822	10.393539	10.047186	11.213662	10.50441	10.059979	11.251383	13.569066	28.638571	6.849826	8.382768	21.205857	4.218821	9.103775	9.831259	8.587092	10.204087	9.532536	10.094728	8.052492	7.352087	7.453417	10.62952	8.782289	15.858878	6.812747	5.902227	16.189456	4.560089	7.579196	8.533305	8.015486	12.38526	9.052062	8.081667	9.280154	8.624342	8.786356	15.006933	8.631557	18.909705	6.052249	9.352352	17.49696	5.246525
GRM3	29.96482	25.61699	44.87326	41.47354	31.27644	28.67121	39.36792	43.80913	47.66232	28.27336	38.31858	69.7531	35.65258	21.32278	27.20613	21.54497	54.536766	30.240503	32.918241	39.895422	48.508189	52.945204	64.271323	29.702142	65.071935	32.743653	40.158794	74.910631	28.027969	26.774716	7.235108	14.875574	41.39131	40.31433	50.41309	48.45329	30.09391	46.88458	55.87196	41.18665	42.7562	28.12522	45.16741	44.78558	38.6427	27.80981	13.61253	15.70974	45.09753	45.60613	37.1063	43.31157	45.50954	45.54622	41.93597	35.06782	36.39482	41.67289	38.12204	76.62579	35.3024	31.13962	17.77169	14.08307	32.83282	32.46698	27.97771	31.13227	30.37139	33.53758	27.89579	26.53302	28.53157	33.87593	31.71534	60.84738	20.74898	26.66201	19.48053	14.12488
HTR2A	0.8111277	1.0437587	0.5878484	1.3914701	0.8394951	0.7331173	0.4372466	0.4376657	0.8807999	1.3365289	0.710815	0.9194518	0.4041145	1.0377896	1.1142081	0.8276544	5.9251378	5.5542086	7.8553755	5.7216135	5.4483286	5.317704	5.9007223	6.24867	5.738788	4.3479715	5.484557	1.7114767	8.4759308	2.0779007	0.5803012	0.4013664	7.2704553	5.915916	6.4486486	7.0613416	8.046962	6.6246567	4.8432995	5.86446	7.3845656	2.9283193	6.6853483	0.6681403	7.6521022	1.8381025	0.5323293	0.1610963	7.790434	6.174411	12.8909605	11.1730148	10.4148317	8.447851	7.35919	8.046785	8.0958607	6.92378	13.5687147	1.8193355	7.6070617	1.2995617	0.9219085	0.1531878	12.6944252	10.3537488	13.8258493	13.7053252	13.1306846	12.5144922	9.0428613	10.3891615	11.8429635	5.9502715	14.4584202	0.9928157	15.7476758	2.8244413	0.9624578	0.200017
KCNN3	1.146767	0.9453828	0.7561869	1.2476411	1.0394824	1.1427689	1.0650785	0.7761987	0.8835324	2.9085441	1.4359977	1.171962	1.0683456	3.1035141	1.2691507	0.5214215	1.223342	1.1685504	0.9312798	1.1357255	0.9575336	1.033419	1.2640203	0.8216062	0.9569983	1.9912848	0.9426303	1.938297	0.7760036	1.4490448	2.70578	0.6111486	0.8492605	1.116973	1.0266534	1.3188014	0.9859674	1.2652023	1.0825977	1.0393043	0.8897898	1.520599	0.8811678	1.6610457	0.908563	1.133959	2.5320167	0.7216405	1.382837	1.7030283	1.402627	1.4873165	2.007576	1.6329147	1.2126233	1.215042	1.1185943	3.5048783	1.2799508	4.515805	1.2134517	2.4269243	4.0423565	0.6932805	1.1390132	1.594815	1.3513167	1.9527165	1.4504406	1.5676695	1.1878255	0.8810997	1.0517803	2.597987	1.2740882	2.9286532	0.4193318	2.255986	2.6275975	0.6372603
MTHFR	3.369944	3.219669	3.262539	2.991292	3.159384	2.963299	3.22691	3.15215	3.061132	2.926463	3.614441	2.947611	3.479574	3.187229	2.851026	2.824133	2.713106	2.655534	2.154444	2.159866	2.439435	2.034081	2.858077	2.482814	2.591339	3.438054	2.170815	2.629193	2.839754	2.680986	2.661975	2.491552	1.593203	1.746129	1.704502	1.414159	1.60367	1.867013	1.58774	1.628571	1.877237	2.07087	1.677173	1.76354	2.017089	1.678939	2.291766	2.790246	2.866214	2.639299	3.025567	3.10551	3.147291	2.998267	2.732868	2.647882	2.307896	3.357558	2.726516	2.549605	2.667708	3.058572	3.144773	3.111462	3.182115	3.25432	3.063558	2.802699	2.767191	3.338893	3.056063	3.085347	2.912909	2.772115	3.259511	2.566663	3.084622	2.75166	2.70531	3.539514
NOTCH4	1.6336473	1.2603903	0.9575291	1.0430721	1.2250914	1.0812124	1.199351	1.1086474	1.305809	1.5866489	1.285643	1.6099632	1.4937763	1.7327863	2.0970637	1.9941749	3.901058	2.037292	2.628053	2.288458	3.312653	2.728108	2.894941	2.849216	3.19272	2.778235	2.541474	1.739696	2.281673	2.383319	2.565299	1.833403	1.831603	1.941391	2.287479	1.884586	1.540612	2.082614	2.101407	2.737888	1.764231	1.672016	1.95286	1.8092	2.235305	1.34451	2.401156	1.597928	1.634357	1.930235	1.535779	1.620295	1.552017	1.586598	1.907622	1.739026	1.639547	1.254263	1.602708	1.519634	1.763849	1.721703	3.210262	1.733727	1.501772	1.333253	1.247551	1.115558	1.35468	1.38361	1.854004	1.754214	1.497638	1.556599	1.425761	1.694103	1.527587	1.522018	2.763431	1.738978
NRG1	1.9873344	3.0586696	2.0358682	1.9185095	2.6714709	2.4630129	1.686948	1.9122425	1.9910122	3.6600514	2.532789	0.8716844	2.8085975	1.8387807	0.7693494	5.143488	1.92883	2.099565	2.1654725	1.985205	2.0091466	1.5701956	2.066344	2.0585148	2.5725093	1.3392115	2.1974133	0.7035237	2.4752032	0.8760465	1.3454116	1.7502794	1.1568758	0.9768398	0.9684052	0.8916518	1.2510566	1.010172	1.067476	0.9652087	1.0686418	1.0648957	1.1557903	0.3501327	0.8611098	1.077553	1.29241	0.8068775	1.214385	1.2055843	1.1631318	1.218579	1.266355	1.0411057	1.4179943	0.950184	0.8964007	1.3037413	1.2095042	0.3418515	0.7094177	0.5394907	1.459167	1.0524403	1.2686153	1.3037486	1.334199	0.9452272	1.1928112	0.9885998	1.467554	1.2998745	1.1020037	0.7871377	1.2091705	0.352168	1.0118702	0.9275077	1.4964955	1.2858342
NRXN1	21.37508	20.35927	24.85126	26.5755	19.68864	20.71552	24.3196	24.74835	26.10195	19.52885	21.92801	19.19975	17.18901	18.43645	29.31331	16.17975	23.2541	23.39777	25.36904	26.28769	24.21283	24.95785	26.51213	24.20691	27.55066	21.50957	25.51332	12.25183	27.74814	18.076	24.42774	17.22197	16.715798	15.25614	18.970564	21.924629	15.043251	15.758858	15.544639	16.969036	18.365294	13.106564	20.366868	4.381883	18.891186	14.505976	15.631768	17.123154	14.66419	13.363652	20.05273	16.659589	18.858299	15.268734	12.177404	13.932991	14.123319	16.693872	18.047963	8.051082	13.255613	8.752409	14.08678	18.215515	20.348802	20.45322	22.588029	22.836945	22.032325	21.972761	16.343494	17.813651	19.359913	15.200823	21.827874	6.524101	19.67393	14.725354	14.878845	17.278648
